製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),1.9875,公噸,冷媒設備清冊,環保課,自行評估
其他未分類製程-其他未歸類設施,其他電力,外購電力,"7,287.9759",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),2.4621,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),7.9213,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),11.8821,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),0.9649,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.1451,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"755,038.6118",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.0151,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0004,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0023,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0498,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0063,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,HFC-23/R-23三氟甲烷，CHF3,逸散 (F),0.0007,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0029,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0057,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0170,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0),逸散 (F),0.0378,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0012,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0010,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0010,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0003,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0156,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0241,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"113,111.5392",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"2,001,430.8237",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"233,976.8360",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"3,798,496.0699",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"207,009.6706",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,貨物下游運輸與配送產生之排放,--,"877,071.0618",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,檸檬酸,,276.8076,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鋁罐,,"2,487,659.6751",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"1,380,831.1227",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,食鹽,,132.5766,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"723,582.6481",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,奶粉,,"1,155.5324",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食鹽,,67.7182,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食鹽,,"1,196.8035",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鋁罐,,"869,449.9176",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,奶粉,,567.6120,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"2,903,531.4194",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,酵母,,42.8645,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"13,369,518.5898",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"442,268.6281",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,奶粉,,"3,669.1740",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,食品級CO2,,658.0966,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"301,766.1305",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鋁罐,,"520,222.8927",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"137,349.2131",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,檸檬酸,,868.6536,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,砂糖,,560.3214,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,食用油(大豆油),,384.6754,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,食品級CO2,,"2,146.1729",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,檸檬酸,,555.8026,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"4,289,471.0699",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,可可粉,,372.7167,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鋁罐,,"2,469,883.2515",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,電力,,"54,322,951.6763",kwh,台電電費單,總務課,連續量測
購買商品之上游排放,自來水,,"109,477.6762",度,台灣自來水水費單,總務課,連續量測
一般事業廢棄物-焚化,處置,,64.8379,mt,環境部申報紀錄,環保課,定期(間歇)量測
