Training ID,原始採購品名,標準品名,大類,子類,資料型態,主要材料,建議規格欄位,常用單位,Scope 3候選類別,排放係數匹配關鍵字,資料品質,訓練備註,適用產業
RP-0153,370型電聯車用轉轍鋼輪採購,370型電聯車用轉轍鋼輪採購,金屬／五金,鐵路及電車軌道之機車及其零件,公開決標採購品名,鐵路及電車軌道之機車及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,370型電聯車用轉轍鋼輪採購 / 鐵路及電車軌道之機車及其零件 / 金屬加工 / 金屬 / 五金 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615571；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,金屬加工
RP-0154,113學年度午餐乳品,113學年度午餐乳品,其他財物,牛奶品,公開決標採購品名,牛奶品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度午餐乳品 / 牛奶品 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615575；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0155,電燒剪刀絕緣蓋等3項二年單價開口契約,電燒剪刀絕緣蓋等3項二年單價開口契約,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,電燒剪刀絕緣蓋等3項二年單價開口契約 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615585；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0156,AI無標記動作擷取分析系統擴充,AI無標記動作擷取分析系統擴充,儀器／光學設備,"光學儀器,攝影設備及其零件與附件",公開決標採購品名,"光學儀器,攝影設備及其零件與附件",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,AI無標記動作擷取分析系統擴充 / 光學儀器 / 攝影設備及其零件與附件 / 儀器光電 / 儀器 / 光學設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615592；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,儀器光電
RP-0157,中醫藥品財物採購一批,中醫藥品財物採購,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,中醫藥品財物採購 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615596；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0158,傳真機及影印機耗材,傳真機及影印機耗材,其他財物,辦公室及會計機器，其零件及附件,公開決標採購品名,辦公室及會計機器，其零件及附件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,傳真機及影印機耗材 / 辦公室及會計機器 / 其零件及附件 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615599；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0159,生理監視器，攜帶式(生理監視器)等4項,生理監視器，攜帶式(生理監視器)等4項,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,生理監視器 / 攜帶式(生理監視器)等4項 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615602；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0160,奈米流式細胞儀1台,奈米流式細胞儀1台,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,奈米流式細胞儀1台 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615628；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0161,南投縣光榮國小113年度「充實改善視聽教室教學環境設備」採購案,南投縣光榮國小113年度「充實改善視聽教室教學環境設備」,通訊／電子設備,"收音機、電視,通訊器材及儀器",公開決標採購品名,"收音機、電視,通訊器材及儀器",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,南投縣光榮國小113年度「充實改善視聽教室教學環境設備」 / 收音機、電視 / 通訊器材及儀器 / 電子通訊 / 通訊 / 電子設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615629；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電子通訊
RP-0162,113學年度簿本暨美勞教材採購,113學年度簿本暨美勞教材採購,其他財物,其他製造商品,公開決標採購品名,其他製造商品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度簿本暨美勞教材採購 / 其他製造商品 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615630；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0163,綠光雷射光纖二年單價開口契約,綠光雷射光纖二年單價開口契約,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,綠光雷射光纖二年單價開口契約 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615640；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0164,『腹腔鏡沖吸組等4項醫材』2年期單價開口契約,『腹腔鏡沖吸組等4項醫材』2年期單價開口契約,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,『腹腔鏡沖吸組等4項醫材』2年期單價開口契約 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615641；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0165,113學年度新生校服財物採購案,113學年度新生校服財物,其他財物,"成衣,毛皮服裝除外",公開決標採購品名,"成衣,毛皮服裝除外",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度新生校服財物 / 成衣 / 毛皮服裝除外 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615653；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0166,台糖高地小農咖啡系列商品委託代工採購,台糖高地小農咖啡系列商品委託代工採購,食品／農產,飲料,公開決標採購品名,飲料,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,台糖高地小農咖啡系列商品委託代工採購 / 飲料 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615668；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0167,新北市泰山區泰山國民小學113學年度第1學期代辦學用品（作業簿本、美勞材料）採購案,新北市泰山區泰山國民小學113學年度第1學期代辦學用品（作業簿本、美勞材料）,紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,新北市泰山區泰山國民小學113學年度第1學期代辦學用品（作業簿本、美勞材料） / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615671；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0168,113學年度師生午餐團膳及幼兒園點心採購,113學年度師生午餐團膳及幼兒園點心採購,食品／農產,"肉類,魚,果實,蔬菜,及油脂",公開決標採購品名,"肉類,魚,果實,蔬菜,及油脂",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度師生午餐團膳及幼兒園點心採購 / 肉類 / 魚 / 果實 / 蔬菜 / 及油脂 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615673；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0169,113學年度漢寶國小、建新國小、草湖國小、草湖國中、幼兒園午餐生鮮食材聯合採購,113學年度漢寶國小、建新國小、草湖國小、草湖國中、幼兒園午餐生鮮食材聯合採購,食品／農產,"肉類,魚,果實,蔬菜,及油脂",公開決標採購品名,"肉類,魚,果實,蔬菜,及油脂",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度漢寶國小、建新國小、草湖國小、草湖國中、幼兒園午餐生鮮食材聯合採購 / 肉類 / 魚 / 果實 / 蔬菜 / 及油脂 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615675；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0170,113學年度學生簿本學用品及美勞教材採購,113學年度學生簿本學用品及美勞教材採購,紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度學生簿本學用品及美勞教材採購 / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615683；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0171,113-115年總分院耐籠三維多孔鈦合金椎間融合器(T)單價合約招標案,113-115年總分院耐籠三維多孔鈦合金椎間融合器(T)單價合約招標案,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113-115年總分院耐籠三維多孔鈦合金椎間融合器(T)單價合約招標案 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615685；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0172,「PACS醫療影像伺服主機」購置案,「PACS醫療影像伺服主機」購置案,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,「PACS醫療影像伺服主機」購置案 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615692；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0173,文化景觀明建新村監視器系統汰換建置及維護開口契約,文化景觀明建新村監視器系統汰換建置及維護開口契約,通訊／電子設備,"收音機、電視,通訊器材及儀器",公開決標採購品名,"收音機、電視,通訊器材及儀器",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,文化景觀明建新村監視器系統汰換建置及維護開口契約 / 收音機、電視 / 通訊器材及儀器 / 電子通訊 / 通訊 / 電子設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615694；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電子通訊
RP-0174,「台糖高雄市鹽埕區大勇路11號4樓部分空間租賃採購案」,「台糖高雄市鹽埕區大勇路11號4樓部分空間租賃採購案」,其他財物,建地及相關土地,公開決標採購品名,建地及相關土地,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,「台糖高雄市鹽埕區大勇路11號4樓部分空間租賃採購案」 / 建地及相關土地 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615698；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0175,113年度贓證物品管理智能庫房建置採購案,113年度贓證物品管理智能庫房建置,電力設備／電材,電力傳輸、控制設備及其零件,公開決標採購品名,電力傳輸、控制設備及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度贓證物品管理智能庫房建置 / 電力傳輸、控制設備及其零件 / 電機電控 / 電力設備 / 電材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615704；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電機電控
RP-0176,113年度執行科分離式冷氣額外項採購案,113年度執行科分離式冷氣額外項,其他財物,家用電器及其零件,公開決標採購品名,家用電器及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度執行科分離式冷氣額外項 / 家用電器及其零件 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615708；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0177,113年臺中市第十四屆全市運動大會獎品組採購案,113年臺中市第十四屆全市運動大會獎品組,其他財物,其他製造商品,公開決標採購品名,其他製造商品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年臺中市第十四屆全市運動大會獎品組 / 其他製造商品 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615712；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0178,「微區掃描式X光螢光光譜分析儀｣採購案,「微區掃描式X光螢光光譜分析儀｣,儀器／光學設備,"光學儀器,攝影設備及其零件與附件",公開決標採購品名,"光學儀器,攝影設備及其零件與附件",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,「微區掃描式X光螢光光譜分析儀｣ / 光學儀器 / 攝影設備及其零件與附件 / 儀器光電 / 儀器 / 光學設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615732；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,儀器光電
RP-0179,Procurementofmedicalequipmentandconsumables,Procurementofmedicalequipmentandconsumables,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,Procurementofmedicalequipmentandconsumables / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615738；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0180,113學年度附設幼兒園餐點--飲品點心類食材採購,113學年度附設幼兒園餐點--飲品點心類食材採購,食品／農產,"穀粉,澱粉及澱粉製品;其他食品",公開決標採購品名,"穀粉,澱粉及澱粉製品;其他食品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度附設幼兒園餐點--飲品點心類食材採購 / 穀粉 / 澱粉及澱粉製品 / 其他食品 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615742；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0181,113學年度附設幼兒園餐點--非生鮮食材類食材採購,113學年度附設幼兒園餐點--非生鮮食材類食材採購,食品／農產,"穀粉,澱粉及澱粉製品;其他食品",公開決標採購品名,"穀粉,澱粉及澱粉製品;其他食品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度附設幼兒園餐點--非生鮮食材類食材採購 / 穀粉 / 澱粉及澱粉製品 / 其他食品 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615743；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0182,10M3/h天然氣微電腦膜式氣量計300PC,10M3/h天然氣微電腦膜式氣量計300PC,資訊設備／軟體,做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器;工業程序控制設備;上述各項之零件及附件,公開決標採購品名,做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器;工業程序控制設備;上述各項之零件及附件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,10M3/h天然氣微電腦膜式氣量計300PC / 做為測量、檢查、航行及其他目的用之儀器和裝置 / 除光學儀器 / 工業程序控制設備 / 上述各項之零件及附件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615748；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0183,113年統一發票推行暨「行動e報稅好禮相送」租稅宣導活動電子禮券(購物金)採購案,113年統一發票推行暨「行動e報稅好禮相送」租稅宣導活動電子禮券(購物金),紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年統一發票推行暨「行動e報稅好禮相送」租稅宣導活動電子禮券(購物金) / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615758；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0184,113年大尺寸觸控式顯示器及黑板設備採購案,113年大尺寸觸控式顯示器及黑板設備,通訊／電子設備,"收音機、電視,通訊器材及儀器",公開決標採購品名,"收音機、電視,通訊器材及儀器",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年大尺寸觸控式顯示器及黑板設備 / 收音機、電視 / 通訊器材及儀器 / 電子通訊 / 通訊 / 電子設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615761；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電子通訊
RP-0185,骨科踝關節髓內釘系統採購案,骨科踝關節髓內釘系統,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,骨科踝關節髓內釘系統 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615774；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0186,113學年度學校午餐外訂桶餐採購案,113學年度學校午餐外訂桶餐,食品／農產,"穀粉,澱粉及澱粉製品;其他食品",公開決標採購品名,"穀粉,澱粉及澱粉製品;其他食品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度學校午餐外訂桶餐 / 穀粉 / 澱粉及澱粉製品 / 其他食品 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615779；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0187,非聯標衛材9項採購案,非聯標衛材9項,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,非聯標衛材9項 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615788；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0188,全自動注射藥配藥分包機等2項,全自動注射藥配藥分包機等2項,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,全自動注射藥配藥分包機等2項 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615792；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0189,113學年度六年級畢業紀念冊,113學年度六年級畢業紀念冊,紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度六年級畢業紀念冊 / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615799；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0190,氣柱,氣柱,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,氣柱 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615804；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0191,藥袋印表機墨水匣一批後續擴充,藥袋印表機墨水匣一批後續擴充,資訊設備／軟體,辦公室及會計機器，其零件及附件,公開決標採購品名,辦公室及會計機器，其零件及附件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,藥袋印表機墨水匣一批後續擴充 / 辦公室及會計機器 / 其零件及附件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615814；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0192,新竹縣安興國小113學年度非審訂本教科書(本土語及國際教育)財物採購,新竹縣安興國小113學年度非審訂本教科書(本土語及國際教育),紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,新竹縣安興國小113學年度非審訂本教科書(本土語及國際教育) / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615817；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0193,113年度汽車科協辦54屆全國技能競賽汽車技術職種材料機具場地整備採購案,113年度汽車科協辦54屆全國技能競賽汽車技術職種材料機具場地整備,機械／零組件,"機動車,拖車,半拖車;車輛機件",公開決標採購品名,"機動車,拖車,半拖車;車輛機件",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度汽車科協辦54屆全國技能競賽汽車技術職種材料機具場地整備 / 機動車 / 拖車 / 半拖車 / 車輛機件 / 機械設備 / 機械 / 零組件 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615824；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,機械設備
RP-0194,69kVPEAMJ2型鐵柱一批,69kVPEAMJ2型鐵柱,電力設備／電材,電力傳輸、控制設備及其零件,公開決標採購品名,電力傳輸、控制設備及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,69kVPEAMJ2型鐵柱 / 電力傳輸、控制設備及其零件 / 電機電控 / 電力設備 / 電材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615828；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電機電控
RP-0195,113年度安全鞋,113年度安全鞋,家具／紡織用品,"皮革與皮革品,鞋靴",公開決標採購品名,"皮革與皮革品,鞋靴",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度安全鞋 / 皮革與皮革品 / 鞋靴 / 民生製造 / 家具 / 紡織用品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615852；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,民生製造
RP-0196,膳食補充食品2項(113),膳食補充食品2項,食品／農產,"穀粉,澱粉及澱粉製品;其他食品",公開決標採購品名,"穀粉,澱粉及澱粉製品;其他食品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,膳食補充食品2項 / 穀粉 / 澱粉及澱粉製品 / 其他食品 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615865；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0197,一般教室視聽設備,一般教室視聽設備,資訊設備／軟體,計算機及其零件與配件,公開決標採購品名,計算機及其零件與配件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,一般教室視聽設備 / 計算機及其零件與配件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615867；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0198,69kV鐵柱防墜裝置等一批,69kV鐵柱防墜裝置等,電力設備／電材,電力傳輸、控制設備及其零件,公開決標採購品名,電力傳輸、控制設備及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,69kV鐵柱防墜裝置等 / 電力傳輸、控制設備及其零件 / 電機電控 / 電力設備 / 電材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615872；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電機電控
RP-0199,醫療儀器設備等4項,醫療儀器設備等4項,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,醫療儀器設備等4項 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615874；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0200,鼻甲雙極射頻治療探針等12項單價開口契約,鼻甲雙極射頻治療探針等12項單價開口契約,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,鼻甲雙極射頻治療探針等12項單價開口契約 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615886；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
